Name,IPAddress
EUC-UAT-101,192.168.0.101
EUC-UAT-102,192.168.0.102
EUC-UAT-103,192.168.0.103
EUC-UAT-104,192.168.0.104
EUC-UAT-105,192.168.0.105
EUC-UAT-106,192.168.0.106
EUC-UAT-107,192.168.0.107
EUC-UAT-108,192.168.0.108
EUC-UAT-109,192.168.0.109
EUC-UAT-110,192.168.0.110
EUC-UAT-111,192.168.0.111
EUC-UAT-112,192.168.0.112
